name,h,b,tf,r2,d,A,G,Iy,Wy,iiy,Iz,Wz,iiz,tw,r1
IPN80,80,45,5.9,2.3,59,7.58,5.95,77.8,19.5,3.2,6.29,3,0.91,3.9,3.9
IPN100,100,50,6.8,2.7,75,10.6,8.32,171,34.2,4.01,12.2,4.88,1.07,4.5,4.5
IPN120,120,58,7.7,3.1,92,14.2,11.1,328,54.7,4.81,21.5,7.41,1.23,5.1,5.1
IPN140,140,66,8.6,3.4,109,18.3,14.4,573,81.9,5.61,35.2,10.7,1.4,5.7,5.7
IPN160,160,74,9.5,3.8,125,22.8,17.9,935,117,6.4,54.7,14.8,1.55,6.3,6.3
IPN180,180,82,10.4,4.1,142,27.9,21.9,1450,161,7.2,81.3,19.8,1.71,6.9,6.9
IPN200,200,90,11.3,4.5,159,33.5,26.3,2140,214,8,117,26,1.87,7.5,7.5
IPN220,220,98,12.2,4.9,175,39.6,31.1,3060,278,8.8,162,33.1,2.02,8.1,8.1
IPN240,240,106,13.1,5.2,192,46.1,36.2,4250,354,9.59,221,41.7,2.2,8.7,8.7
IPN260,260,113,14.1,5.6,208,53.4,41.9,5740,442,10.4,288,51,2.32,9.4,9.4
IPN280,280,119,15.2,6.1,225,61.1,48,7590,542,11.1,364,61.2,2.45,10.1,10.1
IPN300,300,125,16.2,6.5,241,69.1,54.2,9800,653,11.9,451,72.2,2.56,10.8,10.8
IPN320,320,131,17.3,6.9,257,77.8,61.1,12510,782,12.7,555,84.7,2.67,11.5,11.5
IPN340,340,137,18.3,7.3,274,86.8,68.1,15700,923,13.5,674,98.4,2.8,12.2,12.2
IPN360,360,143,19.5,7.8,290,97.1,76.2,19610,1090,14.2,818,114,2.9,13,13
IPN380,380,149,20.5,8.2,306,107,84,24010,1260,15,975,131,3.02,13.7,13.7
IPN400,400,155,21.6,8.6,323,118,92.6,29210,1460,15.7,1160,148,3.13,14.6,14.6
IPN450,450,170,24.3,9.7,363,147,115,45850,2040,17.7,1730,203,3.43,16.2,16.2
IPN500,500,185,27,10.8,404,180,141,68740,2750,19.6,2480,268,3.71,18,18
IPN550,550,200,30,11.9,444,213,167,99180,3610,21.6,3490,349,4.02,19,19
IPN600,600,215,32.4,13,485,254,199,139000,4630,23.4,4670,434,4.3,21.6,21.6
